GC.F.Open,GC.F.High,GC.F.Low,GC.F.Close,GC.F.Volume,GC.F.Adjusted
635.200012,635.200012,635.200012,635.200012,17,635.200012
640.400024,640.400024,628.5,627.099976,38,627.099976
624.5,624.5,624.5,623.900024,4,623.900024
623.700012,623.700012,617.299988,604.900024,531,604.900024
607.5,607.5,607.5,607.5,1000,607.5
607,607,607,613.099976,2,613.099976
611.599976,611.599976,611.599976,611.599976,2,611.599976
612.400024,612.400024,612.400024,612.400024,0,612.400024
616.200012,616.200012,616.200012,625.5,1,625.5
NA,NA,NA,NA,NA,NA
623.599976,623.599976,623.599976,624.599976,2,624.599976
630.5,632.599976,630.5,632.099976,2,632.099976
627.099976,627.099976,627.099976,627.099976,2,627.099976
633.5,633.5,633.5,635.5,2,635.5
633.299988,633.299988,633.299988,633.299988,2,633.299988
642.200012,642.200012,642.200012,645.200012,1,645.200012
640.299988,640.299988,640.299988,647.599976,1,647.599976
647.799988,647.799988,647.799988,647.799988,1,647.799988
644.5,644.5,644.5,644.5,2,644.5
643.099976,643.099976,643.099976,643.099976,71048,643.099976
643,647.5,640.799988,644.200012,25819,644.200012
646.5,655.5,641.799988,652,3048,652
652.900024,661.5,652.599976,657.400024,1198,657.400024
655.700012,659.299988,642,646.200012,449,646.200012
649,651,647,650.900024,196,650.900024
648.200012,659,648.099976,653.599976,169,653.599976
654.799988,655.5,650.400024,652.299988,156,652.299988
650,659.299988,649.099976,658,463,658
659.099976,669.5,658,667.5,127,667.5
664.299988,665.900024,661,662.599976,65,662.599976
664.299988,669,663.799988,663.900024,41,663.900024
666.700012,672,666.700012,667.400024,167,667.400024
668.5,668.5,663,667.299988,93,667.299988
664.5,668.400024,664.5,668.799988,93,668.799988
671,671,658.299988,657.099976,26,657.099976
660.400024,682.299988,657.5,680.200012,33,680.200012
676.5,679.299988,676.5,679.400024,344,679.400024
678.299988,685.299988,674,683.099976,146,683.099976
684.599976,687.599976,683.799988,686.5,34,686.5
684,687.700012,668.5,683.900024,150,683.900024
665.599976,674.5,662,669.400024,6,669.400024
673,673,673,662.299988,1,662.299988
641.5,641.5,641.5,641.5,24,641.5
640.200012,640.200012,640,636.700012,17,636.700012
643.700012,644.5,641.299988,643.799988,15,643.799988
650.599976,650.599976,650.599976,650.599976,13,650.599976
653.400024,653.400024,653.400024,653.400024,13,653.400024
650,650,650,650,320,650
648,648,648,648.400024,8,648.400024
647.599976,647.599976,647.599976,647.599976,20,647.599976
640.900024,640.900024,640.900024,640.900024,8,640.900024
645.700012,645.700012,645.700012,645.700012,8,645.700012
652.900024,652.900024,652.700012,652.599976,15,652.599976
653.099976,653.099976,653.099976,653.099976,15,653.099976
657.900024,657.900024,657.900024,657.900024,0,657.900024
659,659,659,659,0,659
663.400024,663.400024,663.400024,663.400024,27,663.400024
656.700012,656.700012,656.700012,656.700012,200,656.700012
663.400024,663.400024,663.400024,663.400024,0,663.400024
662.099976,662.099976,662.099976,662.099976,0,662.099976
666.5,666.5,666.5,666.5,10244,666.5
665.900024,666.200012,654.599976,661.5,37425,661.5
661.200012,667.700012,659.099976,663,4623,663
665.5,665.5,656.099976,665.700012,1468,665.700012
663.099976,667.299988,662.200012,664,291,664
664,675,664,672.099976,1718,672.099976
674.200012,676,671.5,674.200012,226,674.200012
671.099976,677.5,671.099976,671.900024,35,671.900024
673.900024,681.5,673.900024,676.5,29,676.5
678.299988,680.299988,674.799988,676.799988,31,676.799988
677,677.5,673.099976,675.099976,63,675.099976
680.200012,683.599976,680.200012,685.400024,25,685.400024
685.099976,690.099976,685.099976,690.099976,55,690.099976
689,689.400024,687.200012,688.200012,29,688.200012
689.099976,690.599976,687,689.099976,13,689.099976
681.900024,685.700012,681.900024,684.299988,58,684.299988
690.099976,692.5,690.099976,692,24,692
689,689,688,690.599976,16,690.599976
689.400024,691.299988,683,684.200012,220,684.200012
686.5,686.5,683.799988,684.099976,17,684.099976
684.5,686.799988,673.5,674.900024,51,674.900024
673,678.299988,673,678.700012,55,678.700012
677.400024,680,677.299988,680.5,12,680.5
673.700012,673.700012,673,674.400024,6,674.400024
672.299988,672.299988,672.299988,672.299988,0,672.299988
681.799988,681.799988,681.799988,681.799988,0,681.799988
687.200012,687.200012,687.200012,687.200012,0,687.200012
688,688,688,688,1,688
685.099976,685.099976,685.099976,685.099976,1,685.099976
680.299988,680.299988,680.299988,680.299988,1,680.299988
651,651,651,665.099976,0,665.099976
670.599976,670.599976,670.599976,670.599976,0,670.599976
668.5,668.5,668.5,668.5,0,668.5
673,673,673,673,0,673
660.200012,660.200012,660.200012,660.200012,0,660.200012
656.200012,656.200012,656.200012,656.200012,0,656.200012
661,661,661,661,0,661
660.700012,661.400024,660,662.900024,6,662.900024
659.099976,659.099976,659.099976,659.099976,6,659.099976
661.900024,661.900024,661.900024,661.900024,6,661.900024
654,656,654,653,5,653
655.900024,655.900024,655.700012,655.099976,5,655.099976
657.099976,657.099976,657.099976,657.099976,100718,657.099976
655.700012,658.400024,651.5,653.099976,49921,653.099976
652.5,662,652.5,661,8065,661
661.5,672,660.799988,671.200012,1496,671.200012
671.200012,673.700012,668.900024,670.700012,612,670.700012
672.099976,674,669.299988,669.599976,242,669.599976
670.400024,670.900024,665.400024,669.299988,489,669.299988
671.400024,671.400024,658.299988,660.099976,282,660.099976
658.5,659.599976,645.200012,645.5,261,645.5
649.200012,654.400024,649.200012,654.299988,91,654.299988
653.799988,653.799988,646.900024,648.5,61,648.5
646.599976,651.5,644.299988,648.200012,82,648.200012
652.599976,652.799988,650,651.599976,15,651.599976
651,655.200012,650.700012,654.5,28,654.5
657.900024,658.200012,655.700012,655.799988,57,655.799988
656.200012,660.200012,653,660.700012,36,660.700012
660.799988,660.799988,658,656.099976,8,656.099976
648.599976,648.599976,648.599976,650.599976,6,650.599976
649.900024,649.900024,649.900024,653.5,3,653.5
650,650.5,650,651.299988,21,651.299988
647.599976,647.599976,640,642.099976,60,642.099976
640.400024,643.5,640.400024,641.700012,43,641.700012
643.900024,648.400024,643.900024,647.5,89,647.5
647.5,649.200012,647.5,648.099976,45,648.099976
656.799988,656.799988,656.799988,656.5,1,656.5
NA,NA,NA,NA,NA,NA
648.400024,648.400024,648.400024,648.400024,18,648.400024
652.700012,652.700012,652.700012,652.700012,18,652.700012
660.5,660.5,660.5,660.5,0,660.5
