CL.F.Open,CL.F.High,CL.F.Low,CL.F.Close,CL.F.Volume,CL.F.Adjusted
60.98,61.549999,60.41,61.049999,41686,61.049999
60.950001,60.970001,57.720001,58.32,248547,58.32
58.349998,58.580002,55.389999,55.59,324010,55.59
55.41,56.400002,54.900002,56.310001,250130,56.310001
56.240002,57.720001,55.099998,56.09,298727,56.09
56.119999,56.200001,53.880001,55.639999,333330,55.639999
55.75,55.810001,53.439999,54.02,282508,54.02
53.59,54.73,51.799999,51.880001,341657,51.880001
52.07,53.110001,51.560001,52.990002,317900,52.990002
NA,NA,NA,NA,NA,NA
52.939999,53.549999,50.529999,51.209999,276095,51.209999
51.200001,52.400002,50.279999,52.240002,244372,52.240002
52.400002,52.689999,49.900002,50.48,167275,50.48
50.470001,52.049999,50.119999,51.990002,118596,51.990002
52.09,53.439999,50.799999,51.130001,268288,51.130001
52.639999,55.150002,52.41,55.040001,243676,55.040001
54.970001,55.450001,53.66,55.369999,250596,55.369999
55.389999,55.900002,54.099998,54.23,214449,54.23
54.330002,55.580002,54.200001,55.419998,167981,55.419998
55.630001,55.959999,53.75,54.009998,209141,54.009998
53.869999,57.049999,53.82,56.970001,279880,56.970001
56.900002,58.25,55.75,58.139999,315015,58.139999
57.889999,58.860001,57.099998,57.299999,282637,57.299999
57.389999,59.25,57.049999,59.02,213512,59.02
59.25,59.950001,58.459999,58.740002,251449,58.740002
58.900002,59.990002,58.5,58.880001,276430,58.880001
59.119999,59.849998,57.25,57.709999,335594,57.709999
57.73,59.869999,57.299999,59.709999,301777,59.709999
59.779999,60.799999,59.299999,59.889999,316792,59.889999
59.68,59.759998,57.380001,57.810001,277173,57.810001
57.610001,59.599998,57.240002,59.060001,266256,59.060001
59.029999,59.259998,57.5,58,254613,58
58.029999,58.509998,56.619999,57.990002,213963,57.990002
58.040001,59.450001,57.59,59.389999,213963,59.389999
58.869999,59.25,57.32,58.07,236649,58.07
58.889999,60.630001,58.07,60.07,243533,60.07
60.130001,61.25,59.610001,60.950001,259092,60.950001
60.720001,61.799999,60.5,61.139999,261829,61.139999
60.880001,61.75,60.450001,61.389999,203506,61.389999
61.459999,62.25,60.060001,61.459999,291700,61.459999
60.279999,62.099998,59.919998,61.790001,270667,61.790001
61.82,62.490002,60.799999,62,242342,62
61.84,62.400002,61.16,61.639999,178215,61.639999
61.299999,61.299999,59.549999,60.07,230675,60.07
59.889999,60.799999,59.650002,60.689999,223855,60.689999
60.790001,62.099998,60.639999,61.82,253462,61.82
61.740002,62.299999,61.200001,61.639999,239556,61.639999
61.709999,61.830002,59.869999,60.049999,248690,60.049999
59.959999,59.959999,58.599998,58.91,256103,58.91
59.009998,59.950001,57.75,57.93,291848,57.93
58.169998,58.439999,57.299999,58.16,226839,58.16
58.200001,58.639999,57.400002,57.549999,197137,57.549999
57.529999,58.290001,56.169998,57.110001,149055,57.110001
57.110001,57.599998,56.299999,56.59,114242,56.59
56.669998,57.580002,56.099998,56.73,234310,56.73
59.650002,60.130001,59.209999,59.610001,199403,59.610001
60.02,62.049999,59.950001,61.689999,236870,61.689999
61.970001,62.650002,61.25,62.279999,210693,62.279999
