"screen_name","created_at","text","hashtags","followers_count","favourites_count","verified"
"dubvNOW",2021-08-30 20:02:32,"Futures Movers: S&amp;P 500 and Nasdaq touch intraday record highs, but Dow struggles as bulls pile into tech stocks in last days of August https://t.co/6f4dTXzdse https://t.co/kvRoXDIT4E",,10094,113550,FALSE
"stephenLweiss",2021-08-30 19:54:43,"@CnbcCommenter @iOptions_Trade @HalftimeReport Not my jam.  Seen too many ""legendary"" oil traders go toes up. If they can't figure it out I won't be able to.  Its always a crowded trade up or down and too much speculation in stocks and commodity to be comfortably analyzable for me.",,42734,565,TRUE
"MinteractApp",2021-08-30 19:45:14,"#Ethereum #ETH September #Futures <U+2B06><U+FE0F>2.86% to $3,355 $ETH #Ether #futurestrading #future #Investment #investing #invest #stocks #StockMarket #StocksToWatch #cryptocurrencies #CryptoNews #trading #CME #Crypto #market #Markets #Trade #Trader https://t.co/mzotIgM54N https://t.co/MJfYeYWwST","Ethereum ETH Futures Ether futurestrading future Investment investing invest stocks StockMarket StocksToWatch cryptocurrencies CryptoNews trading CME Crypto market Markets Trade Trader",5151,47,FALSE
"MinteractApp",2021-08-30 19:43:51,"#silver December #Futures #SI_F <U+0001F53B>0.19% to $24 #silverprice #goldprice #futurestrading #preciousmetals #Metal #future #Investment #investing #trading #invest #investor #investors #stocks #stock #StockMarket #Trade #market https://t.co/mzotIgM54N https://t.co/HxecNLZPqo","silver Futures SI_F silverprice goldprice futurestrading preciousmetals Metal future Investment investing trading invest investor investors stocks stock StockMarket Trade market",5151,47,FALSE
"MinteractApp",2021-08-30 19:42:43,"#gold December #Futures #GC_F <U+0001F53B>0.34% to $1,813.3 #goldprice #silverprice #futurestrading #preciousmetals #Metal #future #Investment #investing #trading #invest #investor #investors #stocks #stock #StockMarket #Trade #market https://t.co/mzotIgM54N https://t.co/N5FlwwwTA3","gold Futures GC_F goldprice silverprice futurestrading preciousmetals Metal future Investment investing trading invest investor investors stocks stock StockMarket Trade market",5151,47,FALSE
"MinteractApp",2021-08-30 19:41:45,"#CrudeOil October #Futures #CL_F <U+2B06><U+FE0F>0.42% to $69 #oilprice #OilPriceWar #oilandgas #OPEC #opecmeeting #futurestrading #future #Investment #invest #investor #investors #investing #trading #stocks #stock #StockMarket #Trade #market https://t.co/mzotIgM54N https://t.co/qMut4juwPM","CrudeOil Futures CL_F oilprice OilPriceWar oilandgas OPEC opecmeeting futurestrading future Investment invest investor investors investing trading stocks stock StockMarket Trade market",5151,47,FALSE
"MinteractApp",2021-08-30 19:40:31,"S&amp;P 500 E-mini #Futures #ES_F <U+2B06><U+FE0F>24 Points (0.53%) to 4,529.5 #SP500 $SPX $SPY #futurestrading #future #Investment #investing #trading #invest #investor #investors #stock #stocks #StockMarket #Trade #market https://t.co/mzotIgM54N https://t.co/1HwHLYIiHZ https://t.co/lUDh038jpt","Futures ES_F SP500 futurestrading future Investment investing trading invest investor investors stock stocks StockMarket Trade market",5151,47,FALSE
"MinteractApp",2021-08-30 19:38:34,"#NASDAQ E-mini #Futures #NQ_F <U+2B06><U+FE0F>180 Points (1.17%) to 15,606.5 #futurestrading #future #NASDAQ100 #Investment #investing #trading #invest #investor #investors #stock #stocks #StockMarket #Trade #market https://t.co/mzotIgM54N https://t.co/1HwHLYIiHZ https://t.co/P20dmpSCui","NASDAQ Futures NQ_F futurestrading future NASDAQ100 Investment investing trading invest investor investors stock stocks StockMarket Trade market",5151,47,FALSE
"MinteractApp",2021-08-30 19:37:21,"#Dow E-mini #Futures #YM_F <U+0001F53B>27 Pts (0.08%) to 35,376. Check Advanced Futures Chart w/ Auto #Fibonacci Lines, Support &amp; Resistance, Futures Money Flow Chart &amp; Alert, Futures VWAP Chart #futurestrading #future #Investment #investing #stocks #StockMarket https://t.co/mzotIgM54N https://t.co/v1CTOmLSNr","Dow Futures YM_F Fibonacci futurestrading future Investment investing stocks StockMarket",5151,47,FALSE
"MinteractApp",2021-08-27 21:05:55,"#NASDAQ E-mini #Futures #NQ_F <U+2B06>141 Points (0.92%) to 15,428.25 #futurestrading #future #NASDAQ100 #Investment #investing #trading #invest #investor #investors #stock #stocks #StockMarket #market https://t.co/mzotIgM54N https://t.co/p4TETM9vMv https://t.co/ENvC1yHW7a","NASDAQ Futures NQ_F futurestrading future NASDAQ100 Investment investing trading invest investor investors stock stocks StockMarket market",5151,47,FALSE
"MinteractApp",2021-08-27 21:03:40,"#Dow E-mini #Futures #YM_F <U+2B06>215 Pts (0.61%) to 35,410. Check Advanced Futures Chart w/ Auto #Fibonacci Lines, Support &amp; Resistance, Futures Money Flow Chart &amp; Alert, Futures VWAP Chart #futurestrading #future #Investment #investing #stocks #StockMarket https://t.co/mzotIgM54N https://t.co/W3ai9qDFKN","Dow Futures YM_F Fibonacci futurestrading future Investment investing stocks StockMarket",5151,47,FALSE
"MinteractApp",2021-08-26 21:03:41,"#Dow E-mini #Futures #YM_F<U+0001F53B>197 Pts (0.56%) to 35,195. Check Advanced Futures Chart w/ Auto #Fibonacci Lines, Support &amp; Resistance, Futures Money Flow Chart &amp; Alert, Futures VWAP Chart #futurestrading #future #Investment #investing #stocks #StockMarket https://t.co/mzotIgM54N https://t.co/u9jeiLQSrf","Dow Futures YM_F Fibonacci futurestrading future Investment investing stocks StockMarket",5151,47,FALSE
"MinteractApp",2021-08-24 21:04:15,"#Dow E-mini #Futures #YM_F <U+2B06>4 Pts (0.01%) to 35,332. Check Advanced Futures Chart w/ Auto #Fibonacci Lines, Support &amp; Resistance, Futures Money Flow Chart &amp; Alert, Futures VWAP Chart #futurestrading #future #Investment #investing #stocks #StockMarket https://t.co/mzotIgM54N https://t.co/xKBnuBW4Kt","Dow Futures YM_F Fibonacci futurestrading future Investment investing stocks StockMarket",5151,47,FALSE
"MinteractApp",2021-08-30 13:31:50,"#Dow E-mini #Futures #YM_F <U+2B06><U+FE0F>43 Pts (0.12%) to 35,446. Check Advanced Futures Chart w/ Auto #Fibonacci Lines, Support &amp; Resistance, Futures Money Flow Chart &amp; Alert, Futures VWAP Chart #futurestrading #future #Investment #investing #stocks #StockMarket https://t.co/mzotIgM54N https://t.co/wl9Sh2Bzz6","Dow Futures YM_F Fibonacci futurestrading future Investment investing stocks StockMarket",5151,47,FALSE
"MinteractApp",2021-08-25 21:18:42,"#Ethereum #ETH August #Futures<U+0001F53B>0.15% to $3,214 $ETH #Ether #futurestrading #future #Investment #investing #invest #stocks #StockMarket #StocksToWatch #cryptocurrencies #CryptoNews #trading #CME #Crypto #market #Markets #Trade #Trader https://t.co/mzotIgM54N https://t.co/RRUjW2aLr4","Ethereum ETH Futures Ether futurestrading future Investment investing invest stocks StockMarket StocksToWatch cryptocurrencies CryptoNews trading CME Crypto market Markets Trade Trader",5151,47,FALSE
