"screen_name","created_at","text","hashtags","followers_count","favourites_count","verified"
"BlackCentaurFX",2021-08-30 20:15:54,"USD/MXN Slides on Lower US Treasury Yields, Market Focus Turns to NFP Data https://t.co/tTmzSgn7Tk via DailyFX #forex #fx","forex fx",1458,3,FALSE
"BlackCentaurFX",2021-08-29 07:14:35,"Mexican Peso Forecast: Powell Paves the Way for USD/MXN Weakness in the Near Term https://t.co/EUml8HnMPO via DailyFX #forex #fx","forex fx",1458,3,FALSE
"BlackCentaurFX",2021-08-26 19:12:04,"Mexican Peso Outlook: How Will USD/MXN React to the Jackson Hole Summit? https://t.co/KD89PFWYeF via DailyFX #forex #fx","forex fx",1458,3,FALSE
"ATAFIN",2021-08-28 07:33:10,"#Fed #Taper Time Game

#Powell Schizophrenia - Now #Dovish 

#DXY #FX #Bears Hard Strike &lt; Major 93

Key Levels (EOW)
#DXY Fut&lt;93 (92.69)
#EURUSD in 1.18 (1.1795)
#USDMXN in 20.20 (20.19)
#Gold Fut&gt;1800 (1820)
#Nasdaq Fut&gt; 15.400 (15.432) https://t.co/mvbiPQqire","Fed Taper Powell Dovish DXY FX Bears DXY EURUSD USDMXN Gold Nasdaq",628,66,FALSE
"ATAFIN",2021-08-27 16:53:06,"#Goldman #Fed #Taper Strike 

Intention Notice September Start November
vs
Powell Schizophrenia

#DXY #FX #Bears Strike &lt; Major 93

Key Levels
#DXY Fut&lt;93 (92.65)
#EURUSD in 1.18 (1.1797)
#USDMXN in 20.20 (20.20)
#Gold Fut&gt;1800 (1819)
#Nasdaq Fut&gt; 15.400 (15.415)

f Next H1-H4 https://t.co/QSSVXS4zHq","Goldman Fed Taper DXY FX Bears DXY EURUSD USDMXN Gold Nasdaq",628,66,FALSE
"ATAFIN",2021-08-27 15:21:16,"#Fed #Powell
Taper could Start in 2021 vs No Rush on Rate Hike

ATA Conclusion
Fed Schizophrenia

#DXY #FX #Bears Strike &lt; Major 93

Key Levels
#DXY Fut&lt;93 (92.72)
#EURUSD in 1.18 (1.1797)
#USDMXN in 20.30 (20.27)
#Gold Fut&gt;1800 (1810)
#Nasdaq Fut in 15.400 (15.404)

f Next H1-H4 https://t.co/GumgflZPTi","Fed Powell DXY FX Bears DXY EURUSD USDMXN Gold Nasdaq",628,66,FALSE
"ATAFIN",2021-08-24 06:58:57,"#Fed #JacksonHole #Taper Master Motive

#DXY #FX Bear Strike to  Major 93 Zone

Active Key Levels
#DXY Fut in 93 (92.99)
#EURUSD&lt; 1.1750 (1.1745)
#USDMXN in 20.30 (20.28)
#Gold Fut&gt; 1800 (1806)
#Nasdaq Fut&gt; 15.350 (15.373)

f Next H1-H4 https://t.co/t7i9A056IM","Fed JacksonHole Taper DXY FX DXY EURUSD USDMXN Gold Nasdaq",628,66,FALSE
"ATAFIN",2021-08-26 13:13:17,"#Fed #Bullard #TAPER Strike
Taper should be Over By Q1 2022

#DXY #FX #Bulls Strike in Major 93 Zone

Active Key Levels
#DXY Fut in 93 (93.03)
#EURUSD in 1.1750 (1.1751)
#USDMXN&gt; 20.30 (20.35)
#Gold Fut&lt; 1800 (1783)
#Nasdaq Fut&gt; 15.300 (15.331)

f Next H1-H4 https://t.co/SdgIpJkwLb","Fed Bullard TAPER DXY FX Bulls DXY EURUSD USDMXN Gold Nasdaq",628,66,FALSE
"ATAFIN",2021-08-27 06:50:09,"#Fed #JacksonHole #PowellSpeech Today 

#Taper in Focus

#DXY #FX #Bulls #Bears Fight in Major 93

Active Key Levels
#DXY Fut in 93 (92.95)
#EURUSD&gt; 1.1750 (1.1767)
#USDMXN&gt; 20.30 (20.33)
#Gold Fut&gt; 1800 (1806)
#Nasdaq Fut&gt; 15.300 (15.338)

f Next H1-H4 https://t.co/3KitBGyWAa","Fed JacksonHole PowellSpeech Taper DXY FX Bulls Bears DXY EURUSD USDMXN Gold Nasdaq",628,66,FALSE
"ATAFIN",2021-08-26 06:50:11,"#Fed #JacksonHole #Taper 
Symposium Start Today

#DXY #FX #Bulls #Bears still Fight in Major 93 Zone

Active Key Levels
#DXY Fut in 93 (92.95)
#EURUSD&gt; 1.1750 (1.1761)
#USDMXN in 20.30 (20.28)
#Gold Fut&lt; 1800 (1786)
#Nasdaq Fut in 15.300 (15.318)

f Next H1-H4 https://t.co/vmaUZM7N6n","Fed JacksonHole Taper DXY FX Bulls Bears DXY EURUSD USDMXN Gold Nasdaq",628,66,FALSE
